,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""","In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?
94,14,15 - 24 years,Prefer not to answer,"125,001 - 150,000 rupees",Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,Yes - I would like more opportunities to participate
95,14dup,15 - 24 years,Prefer not to answer,"125,001 - 150,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
96,14dup,15 - 24 years,Prefer not to answer,"125,001 - 150,000 rupees",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
97,15,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I would like more opportunities to participate
98,15dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
99,15dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Participate in a protest,,
100,15dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
101,15dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
102,16,45 years and above,Male,"100,001 - 125,000 rupees",Malir Cantonment,Visit cultural events on the street or at public squares,Indifferent,Yes - I would like more opportunities to participate
103,16dup,45 years and above,Male,"100,001 - 125,000 rupees",Malir Cantonment,"Visit a fair (books, food, crafts)",,
104,16dup,45 years and above,Male,"100,001 - 125,000 rupees",Malir Cantonment,Participate in a protest,,
105,17,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,Attend sporting events as a spectator,No - I do not trust them,No - I would like the opportunities to participate
106,17dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,"Visit a fair (books, food, crafts)",,
107,17dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,Visit an outdoors bazaar,,
108,17dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,Visit an indoors bazaar/mall,,
109,18,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,No - I would like the opportunities to participate
110,18dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
111,18dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
112,18dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a musical/dancing event (not including weddings),,
113,18dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Participate in a protest,,
114,18dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
115,18dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
116,18dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
117,19,15 - 24 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
118,19dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,"Visit a religious building (mosque, church, temple, etc)",,
119,20,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
120,20dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit monuments, historic sites",,
121,20dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
122,20dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
123,20dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
124,20dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
125,21,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
126,21dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
127,21dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
128,21dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
129,21dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
130,22,15 - 24 years,Male,"200,001 and above",Faisal Cantonment,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
131,22dup,15 - 24 years,Male,"200,001 and above",Faisal Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
132,22dup,15 - 24 years,Male,"200,001 and above",Faisal Cantonment,Visit an outdoors bazaar,,
133,22dup,15 - 24 years,Male,"200,001 and above",Faisal Cantonment,Visit an indoors bazaar/mall,,
134,23,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
135,23dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,"Visit conferences, seminars (outside of institutional requirements)",,
136,23dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,Visit a park for a walks or leisure,,
137,23dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,"Visit a fair (books, food, crafts)",,
138,23dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,"Visit a religious building (mosque, church, temple, etc)",,
139,23dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,Visit an outdoors bazaar,,
140,23dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,Visit an indoors bazaar/mall,,
141,24,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,"Visit museums, galleries",Indifferent,No - I would like the opportunities to participate
142,24dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,Visit a park for a walks or leisure,,
143,24dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,Visit an outdoors bazaar,,
144,24dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,Visit an indoors bazaar/mall,,
145,25,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
146,25dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Attend sporting events as a spectator,,
147,25dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
148,25dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a theatre (play, movies)",,
149,25dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
150,25dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a musical/dancing event (not including weddings),,
151,25dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
152,26,25 - 44 years,Male,"200,001 and above",Shah Faisal,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I would like more opportunities to participate
153,26dup,25 - 44 years,Male,"200,001 and above",Shah Faisal,Visit a park for a walks or leisure,,
154,26dup,25 - 44 years,Male,"200,001 and above",Shah Faisal,"Visit a religious building (mosque, church, temple, etc)",,
155,26dup,25 - 44 years,Male,"200,001 and above",Shah Faisal,Visit an outdoors bazaar,,
156,27,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
157,27dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",,
158,27dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
159,27dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
160,27dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
161,27dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Participate in a protest,,
162,27dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
163,27dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
164,28,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,No - I would like the opportunities to participate
165,28dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
166,28dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,,
167,29,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,No - I do not trust them,Yes - I would like more opportunities to participate
168,30,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
169,30dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,Visit a park for a walks or leisure,,
170,30dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Visit a fair (books, food, crafts)",,
171,30dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,Visit an outdoors bazaar,,
172,30dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,Visit an indoors bazaar/mall,,
173,30dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Visit a natural area (hills, lakes, mangroves, etc)",,
174,31,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
175,31dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Visit monuments, historic sites",,
176,31dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,Visit cultural events on the street or at public squares,,
177,31dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Visit a fair (books, food, crafts)",,
178,31dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,Participate in a protest,,
179,31dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,Visit an indoors bazaar/mall,,
180,31dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Visit a natural area (hills, lakes, mangroves, etc)",,
181,32,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,,No - I do not trust them,No - I would like the opportunities to participate
182,33,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
183,33dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
184,33dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
185,33dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
186,34,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
187,34dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",,
188,34dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
189,34dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
190,34dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Attend sporting events as a spectator,,
191,34dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
192,34dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
193,34dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
194,35,25 - 44 years,Female,"200,001 and above",Outside Karachi,,No - I do not trust them,No - I do not wish to participate
195,36,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I would like more opportunities to participate
196,36dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,Visit cultural events on the street or at public squares,,
197,36dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
198,36dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
199,36dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
200,36dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
201,36dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
202,37,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit cultural events on the street or at public squares,Yes - I trust them,No - I would like the opportunities to participate
203,37dup,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
204,37dup,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
205,37dup,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
206,38,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,Yes - I will not participate again
207,38dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Participate in a protest,,
208,38dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
209,38dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
210,39,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
211,39dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit a theatre (play, movies)",,
212,39dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
